,date,open,high,low,close,diff,volume
0,2020-09-14,86500,89100,73400,73800,7300,20213705
1,2020-09-15,69900,71200,67100,67500,6300,8309414
2,2020-09-16,66200,69500,65400,66300,1200,5054826
3,2020-09-17,67000,67800,64600,64600,1700,2373993
4,2020-09-18,65400,65700,62800,63400,1200,1914512
5,2020-09-21,63400,63400,59000,59500,3900,2796724
6,2020-09-22,59400,59400,55700,55800,3700,2177965
7,2020-09-23,56500,58500,55700,55800,0,2348911
8,2020-09-24,54100,54700,51200,51200,4600,1817508
9,2020-09-25,51800,52700,50000,50200,1000,1460915
10,2020-09-28,51000,52300,50300,51200,1000,1175400
11,2020-09-29,51900,59000,51600,56200,5000,5973601
12,2020-10-05,55400,55700,53500,54200,2000,1084588
13,2020-10-06,54500,56300,54100,54300,100,1108491
14,2020-10-07,54200,55000,53600,54500,200,486108
15,2020-10-08,53100,54000,53000,53000,1500,1074274
16,2020-10-12,45350,49800,45300,49100,3900,6330061
17,2020-10-13,49650,50700,48550,49150,50,1845095
18,2020-10-14,49300,49550,48000,48250,900,1094816
19,2020-10-15,48000,48150,45750,46300,1950,1556423
20,2020-10-16,46100,46900,45500,45850,450,899954
21,2020-10-19,45850,46350,45000,45050,800,678392
22,2020-10-20,44500,45400,44000,44750,300,807867
23,2020-10-21,45000,47300,44950,46650,1900,1359297
24,2020-10-22,47000,47300,46300,46500,150,657267
25,2020-10-23,46400,46750,45450,45500,1000,512008
26,2020-10-26,45200,45350,44050,44100,1400,575048
27,2020-10-27,43700,44600,42950,44050,50,422999
28,2020-10-28,43950,44950,43950,44650,600,404797
29,2020-10-29,44000,44850,43850,44600,50,359512
30,2020-10-30,44950,46600,44550,45150,550,720458
31,2020-11-02,45500,46350,45500,46250,1100,468995
32,2020-11-03,46800,47300,46450,46950,700,645299
33,2020-11-04,47550,47700,46450,47000,50,711933
34,2020-11-05,47650,49700,47300,48950,1950,1694857
35,2020-11-06,49700,50700,49000,49150,200,1131914
36,2020-11-09,50100,50400,49500,50000,850,769608
37,2020-11-10,49200,49400,48550,48900,1100,691857
38,2020-11-11,48850,48850,47650,48350,550,562943
39,2020-11-12,48450,49150,48450,48650,300,325217
40,2020-11-13,48050,48400,47700,48150,500,351364
41,2020-11-16,48200,48750,48150,48600,450,354499
42,2020-11-17,49100,49100,48000,48000,600,420394
43,2020-11-18,48050,48500,48050,48250,250,274818
